SDKResource,Name
aws_apprunner_auto_scaling_configuration_version,AutoScaling Configuration Version
aws_ecs_cluster,Cluster
aws_medialive_multiplex,Multiplex
aws_memorydb_snapshot,Snapshot
aws_sagemaker_notebook_instance,Notebook Instance
aws_securityhub_standards_subscription,
aws_db_proxy_target,
aws_route53recoverycontrolconfig_safety_rule,
aws_config_organization_custom_rule,
aws_datasync_location_efs,Location EFS
aws_vpc_ipam_pool_cidr_allocation,
aws_elasticsearch_domain_saml_options,
aws_iot_topic_rule_destination,
aws_kinesis_video_stream,Stream
aws_storagegateway_nfs_file_share,NFS File Share
aws_vpclattice_resource_policy,Resource Policy
aws_appsync_graphql_api,GraphQL API
aws_vpc_endpoint_route_table_association,
aws_efs_backup_policy,
aws_emr_instance_fleet,
aws_fsx_backup,Backup
aws_opensearch_domain,Domain
aws_placement_group,Placement Group
aws_neptune_cluster_instance,Cluster
aws_autoscaling_attachment,
aws_chimesdkvoice_voice_profile_domain,Voice Profile Domain
aws_datasync_location_nfs,Location NFS
aws_guardduty_invite_accepter,
aws_memorydb_parameter_group,Parameter Group
aws_wafregional_regex_pattern_set,
aws_chimesdkmediapipelines_media_insights_pipeline_configuration,Media Insights Pipeline Configuration
aws_redshift_snapshot_schedule,Snapshot Schedule
aws_service_discovery_public_dns_namespace,Public DNS Namespace
aws_codepipeline,Pipeline
aws_dms_event_subscription,Event Subscription
aws_default_subnet,Subnet
aws_memorydb_acl,ACL
aws_securityhub_account,
aws_transfer_access,
aws_wafv2_regex_pattern_set,Regex Pattern Set
aws_xray_encryption_config,
aws_dx_hosted_public_virtual_interface_accepter,Hosted Public Virtual Interface
aws_ram_resource_share,Resource Share
aws_vpclattice_access_log_subscription,Access Log Subscription
aws_ec2_network_insights_analysis,Network Insights Analysis
aws_redshiftserverless_snapshot,
aws_connect_vocabulary,Vocabulary
aws_fsx_file_cache,File Cache
aws_kms_key_policy,
aws_securityhub_finding_aggregator,
aws_signer_signing_profile_permission,
aws_lambda_alias,
aws_dax_parameter_group,
aws_ec2_transit_gateway_route_table_propagation,
aws_cloudwatch_event_bus_policy,
aws_route53recoveryreadiness_resource_set,Resource Set
aws_directory_service_region,Region
aws_ec2_local_gateway_route,
aws_qldb_ledger,Ledger
aws_appstream_stack,Stack
aws_volume_attachment,
aws_lightsail_container_service,Container Service
aws_wafregional_rate_based_rule,Rate Based Rule
aws_api_gateway_api_key,API Key
aws_network_interface_sg_attachment,
aws_load_balancer_policy,
aws_pinpoint_email_channel,
aws_dynamodb_contributor_insights,
aws_ec2_subnet_cidr_reservation,
aws_imagebuilder_image_recipe,Image Recipe
aws_oam_link,Link
aws_route53recoveryreadiness_recovery_group,Recovery Group
aws_backup_framework,Framework
aws_config_organization_managed_rule,
aws_launch_template,Launch Template
aws_ecr_repository,Repository
aws_qldb_stream,Stream
aws_ssm_activation,Activation
aws_codeartifact_repository,Repository
aws_dms_replication_instance,Replication Instance
aws_directory_service_shared_directory_accepter,
aws_glue_dev_endpoint,Dev Endpoint
aws_inspector_assessment_target,
aws_appmesh_virtual_node,Virtual Node
aws_codecommit_trigger,
aws_backup_vault_lock_configuration,
aws_lb_ssl_negotiation_policy,
aws_cloudwatch_event_archive,
aws_fsx_openzfs_volume,OpenZFS Volume
